"PERMIT_NO","APPLIED_DATE","APPROVED_DATE","ISSUED_DATE","FINALED_DATE","EXPIRED_DATE","PARENT_PROJECT_NO","PARENT_PERMIT_NO","PermitType","PermitSubType","STATUS","ZONING_CODE1","ZONING_CODE2","SITE_SUBDIVISION","SITE_DESCRIPTION","SITE_APN","SITE_ADDR","SITE_UNIT_NO","SITE_CITY","SITE_ZIP","DESCRIPTION","NOTES","JOBVALUE","FEES_CHARGED","FEES_PAID","CONTRACTOR_NAME","LONGITUDE","LATITUDE"
"BLDG20-1429","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2021-01-12 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","JACKSON HEIGHTS SU","","09-09-30-207-009","2105 CHARLTON AVE","","Ann Arbor","48103","Radon Reduction System","","855","115","115","Protech Environmental Services","-83.77566","42.27875"
"BLDG20-1431","2020-08-28 00:00:00","2020-10-06 00:00:00","2020-10-06 00:00:00","","2021-05-05 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R1D","","GRANGER'S ADDITION","","09-09-33-423-018","1617 GRANGER AVE","","Ann Arbor","48104","Demo and rebuild garage, add covered porch rear of home","(9/29/2020 2:22 PM MCFR)
Hold for grading approval","69000","948.20000000000005","948.20000000000005","Jensen And Sons Inc","-83.72714","42.26482"
"ROW20-1115","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","PL","","ANN ARBOR LAND COM","U OF M INSTITUTE OF SOCIAL RESEARCH","09-09-29-425-003","426 THOMPSON ST","","Ann Arbor","48104","remove replace sidewalk","(8/28/2020 8:39 AM MB)
sent payament coversheet.","0","6","6","Spence Brothers","-83.74361","42.2769"
"ROW20-1116","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-09 00:00:00","","2021-09-09 00:00:00","CVLC20-015","","RIGHT OF WAY","SERVICE LEAD","ISSUED","PL","","R.S. SMITHS THIRD","U OF M STOCKWELL HALL","09-09-28-320-001","324 OBSERVATORY ST","","Ann Arbor","48103","New water service","(9/9/2020 3:43 PM MB)
Thanks,
Anne","0","0","0","EAGLE EXCAVATION, INC.","-83.73228","42.27863"
"ROW20-1117","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","PL","","R.S. SMITHS THIRD","U OF M STOCKWELL HALL","09-09-28-320-001","324 OBSERVATORY ST","","Ann Arbor","48103","remove and replace sidewalk","(8/28/2020 8:46 AM MB)
sent payment coversheet.","0","12","12","Spence Brothers","-83.73228","42.27863"
"ROW20-1118","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","R2B","","HILL'S ADDITION","","09-09-33-202-011","1204 HILL ST","","Ann Arbor","48104","remove and replace sidewalk","(8/28/2020 9:07 AM MB)
sent payment coversheet.","0","6","6","Spence Brothers","-83.73416","42.27182"
"ROW20-1119","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - NEW","ISSUED","PL","","ANN ARBOR LAND CO","U OF M LORCH HALL","09-09-28-307-001","611 TAPPAN ST","","Ann Arbor","48103","remove and replace sidewalk","(8/28/2020 9:17 AM MB)
sent payment coversheet.","0","6.5999999999999996","6.5999999999999996","Spence Brothers","-83.73706","42.27412"
"ROW20-1121","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","SIDEWALK - REMOVE/REPLACE","ISSUED","M2","","JAMES H. BROWN ADD","","09-09-32-108-003","839 GREENE ST","","Ann Arbor","48104","remove and replace sidewalk","(8/28/2020 9:48 AM MB)
sent paymetn coversheet","0","6","6","","-83.74703","42.27081"
"ROW20-1123","2020-08-28 00:00:00","2020-09-05 00:00:00","2020-11-03 00:00:00","","2021-11-03 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","PUD","","","","09-09-27-200-001","2200 FULLER CT","","Ann Arbor","48105","Conduit for Fiber Optic","(8/28/2020 10:15 AM AMKR)
Comcast proposes the underground installation of ~208' (201' inside of ROW) of fiber optic cable in conduit by directional bore along Fuller Ct, Southwest of Fuller Rd, for a comcast forece relocat project to maintain telecom service.

(9/8/2020 9:18 AM AMKR)
sent invoice","0","315","315","COMCAST","-83.7171","42.28553"
"ROW20-1127","2020-08-28 00:00:00","2020-09-03 00:00:00","2020-09-04 00:00:00","","2021-09-04 00:00:00","","METRO16-0002","RIGHT OF WAY","TELECOM/FIBER (METRO ACT)","ISSUED","R4B","","","LAND PARCEL FOR HICKORY WAY APARTMENTS PHASE/BLDG 1","09-08-36-100-012","1120 S MAPLE RD","","Ann Arbor","48103","INSTALL AERIAL FIBER OPTIC CABLE","(8/28/2020 11:32 AM AMKR)
Place approx 196' of new AT&T aerial fiber optic calbe to feed customer located at 1120 S Maple rd. See attached word doc and permit app work for further detail

(9/3/2020 7:59 AM AH)
Note:  Typo in the project descrption.  Should have sayd 196' of fiber, not 455'.","0","0","0","AT&T - Shawn Burnside","",""
"ROW20-1128","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-08-28 00:00:00","","","RIGHT OF WAY","","ISSUED","PL","","","ANN ARBOR MUNICIPAL CENTER","09-09-29-114-007","301 E HURON ST","","Ann Arbor","48104","cleaning storm/sewer mains if needed","(8/28/2020 11:46 AM MB)
Michelle, can you enter into TRAKiT for this contractor?  Use 301 E Huron as the address as they will be all over the City.  They are only TV’ing sewers for Public Works, no actual construction, therefore no fees.  They will need to use this ROW permit to attach their various Traffic Control Permits to.  

Thank you!","0","0","0","pipe tek services","-83.74537","42.2818"
"ROW20-1129","2020-08-28 00:00:00","2020-09-04 00:00:00","2020-09-04 00:00:00","","2021-09-04 00:00:00","","","RIGHT OF WAY","DRIVE APPROACH - COMMERCIAL","ISSUED","PL","","","HURON HILLS GOLF COURSE (MAIN ADDRESS)","09-09-35-204-001","3465 E HURON RIVER DR","","Ann Arbor","48104","Temporary Drives (2) to access Golf Course","(8/28/2020 12:04 PM AMKR)
Temporary access drive down into golf course on south side of Huron parkway

(9/2/2020 4:52 PM AH)
The Huron Parkway entrance will be where there is already a curb cut that the golf course uses to get their machinery down to the golf course. The width of the path will be 10 feet wide.  Contractor will put down W270 woven fabric to support the loads, along with 6"of 1x3 limestone, with a couple of inches of 21aa limestone to choke off the 1"x3" stone. Contractor will start the fabric and stone beyond the asphalt path that is there now, and go down the hill to the golf course. Contractor will remove this material when we are complete with the work on the back 11 portion of the golf course (spring 2021) and restore the area to its original or better condition.

The E. Huron River Drive entrance will be about 150 feet east of Benz Creek Drain.  Contractor will install a temporary culvert at this location followed by the woven fabric and the 6" of 1x3, and 2"of 21aa stone.  The width of the path will be 10 feet wide. Contractor will remove everything when the project is complete in the spring of 2021 and restore the area to its original or better condition.

(9/2/2020 4:57 PM TK)
Permit fee ($370) will be paid via fund transfer from 69PRTN.

(9/3/2020 5:21 PM KK1)
Per Crystal: Have Alison let you know when it’s transferred and you can choose the “transfer” option in trakit for payment.","0","650","650","ALL STAR POWER LLC","-83.69427","42.27114"
"ROW20-1130","2020-08-28 00:00:00","2020-12-02 00:00:00","2020-12-02 00:00:00","","2021-12-02 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","PUD","","HAMILTON ROSE AND","WHITE/STATE/HENRY (AAHC)","09-09-33-318-001","1525 S STATE ST","","ANN ARBOR","48104","HDPE Innerduct for City of Ann Arbor IT","(8/28/2020 12:56 PM AMKR)
Project 22972-1525 s sate st place 1 1.25' HDPE innerduct via dirctional bore crossing under stadium blvd adn industrial to Henry st. Proceed along Henry st to S State st and along S Stat st to 1525 E State st.

(11/13/2020 11:35 AM TK)
Good morning, 

The revised engineering plans have been uploaded. Please let me know if you have any questions. 

Thank you!

Hadassah C Beshada
Permitting Coordinator
616.988.8724(o)  ·  www.tkns.net 
616.554.2124(f)

(12/2/2020 8:30 AM TK)
It looks like the permit can be issued. I have conditional notes in the notes section. 

Thanks,

Tiffany Giacobazzi, Urban Forestry & Natural Resources Planning Coordinator 
City of Ann Arbor | Public Works, Wheeler Service Center | 4251 Stone School Road · Ann Arbor · MI · 48108
p: 734.794.6356 |e: tgiacobazzi@a2gov.org | f: 734.994.0742 | www.a2gov.org","0","865","865","Turnkey Network Solutions","-83.73984","42.26174"
"ROW20-1131","2020-08-28 00:00:00","2020-10-19 00:00:00","2020-10-19 00:00:00","","2021-10-19 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","R4A","","","AAHC Hikone Community Center","09-12-10-201-004","2724 HIKONE RD","","ANN ARBOR","48103","HDPE Innerduct (City IT Project - Non-METRO Act)","(8/28/2020 2:01 PM AMKR)
Project 22972-2724 Hikone Dr Place (1) 1.25" HDPE innerduct via dircetional bore along packard st approx 337' to Hikone dr and along Hikone dr to 2724 Hikone.

(9/18/2020 5:56 PM KK1)
revised plans uploaded by contractor, send to eng.

(10/19/2020 9:47 AM TK)
Please issue the above permit for installation of fiber by directional bore.  This is for an IT project, no fees.

Nichole Woodward, Project Manager
City of Ann Arbor – Engineering | Guy C. Larcom City Hall | 301 E. Huron Street | Ann Arbor, MI 48104
734-794-6410 (O) | Internal Extension 43909
nxwoodward@a2gov.org | www.a2gov.org","0","391","391","Turnkey Network Solutions","-83.71104","42.24295"
"ROW20-1132","2020-08-28 00:00:00","2020-11-04 00:00:00","2020-11-04 00:00:00","","2021-11-04 00:00:00","","","RIGHT OF WAY","CABLE (NON-METRO ACT)","ISSUED","R4B","","WAGNER-MCCOMB BOUL","PLATT EAST CLUBHOUSE","09-12-11-207-066","3425 PLATT RD","","Ann Arbor","48108","New Fiber for City IT Project (non-METRO Act)","(8/28/2020 2:13 PM AMKR)
Project 22972/3425 Platt Rd- Overlash fiber on existing on existing poles along Packard St from homestead coomons dr approx 882' to colony. Place (1) 4" HDPE innerduct via directional bore approx 219' to existing HH. Pull fiber through existing conduit from HH to Platt Rd and along Platt rd to 3424 Platt. Place new underground crossing under Platt approx 69' to 3425 Platt

(9/18/2020 5:54 PM KK1)
revised plans uploaded by contractor, sending to eng.

(10/19/2020 10:58 AM TK)
Good morning, 

The revised engineering plans have been uploaded. Please let me know if you have any questions. 

Thank you!


Hadassah C Beshada
Permitting Coordinator
616.988.8724(o)  •  www.tkns.net 
616.554.2124(f)

(11/3/2020 3:53 PM KK1)
Please issue the above permit for installation of telecommunications cable in existing conduit and a short segment of new conduit installed by directional bore.  Normal fees apply.

Nichole Woodward, Project Manager

(11/3/2020 3:55 PM KK1)
sent invoice and payment cover sheet","0","755.79999999999995","755.79999999999995","Turnkey Network Solutions","",""
"ROW20-1133","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-09-11 00:00:00","","","RIGHT OF WAY","SERVICE LEAD","FINALED","R1B","","HURON RIVER HILLS","","09-09-16-302-001","515 BARTON DR","","Ann Arbor","48105","Sewer replacement","(8/28/2020 2:24 PM AMKR)
Pipe burst sewer line replacement house to main in street","0","405","405","Tanner Patrick","-83.73863","42.30177"
"TCP20-0693","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2020-09-05 00:00:00","","ROW20-0973","TRAFFIC CONTROL","LANE CLOSURE","EXPIRED","R4C","","ASSESSOR'S PLAT NO","","09-09-29-122-013","521 N FIFTH AVE","","Ann Arbor","48104","Closure of Fifth between Detroit and Hill","(8/28/2020 10:23 AM AMKR)
Short Description:
Intermittent Lane Closures North Fifth Ave. and South Fifth Ave. between Detroit Street and Hill Street.

Notes:
Intermittent lane closures at manhole/handhole locations along Fifth Ave. between Detroit Street and Hill Street.  Cones, signs and lighted arrow board will be utilized in accord with MMUTCD standards.

Description:
Lane Closures at manhole/handhole locations on North Fifth Ave. and South Fifth Ave.  Work Truck with compressor will be staged at existing MCI manhole locations to inspect and proof existing UG conduit.  Cones, signs, lighted arrow board in accord with MMUTCD standards will be utilized.    William Beard is on-site contact:  734-477-0360.

(8/28/2020 10:27 AM AMKR)
Work Start/End:  9/2/2020 – 9/5/2020
Work Time:  8am-4pm  - WITH THE EXCEPTION OF THURSDAY, 9/3/2020 – 8PM FOR MANHOLE AT LIBRARY LANE GARAGE ENTRANCE.

Schedule will be as follows:

Wednesday/Thursday, 9/2/2020 to 9/3/2020   8AM – 4PM
N. Fifth Ave. between Detroit Street and Huron

Thursday, 9/3/2020 
S. Fifth Ave. between Huron and Packard.  8AM – 4PM
MANHOLE AT LIBRARY LANE GARAGE ENTRANCE  8PM

ACCESS TO MANHOLE NEAR THE S. FIFTH STREET ENTRANCE TO THE UNDERGROUND LIBRARY LANE GARAGE WILL BE CONDUCTED IN THE EVENING STARTING AT 8PM ON THURSDAY, 9/3/2020. EVENING WORK PERMISSION HAS BEEN GRANTED BY MR. DELECOURT’S OFFICE- ATTACHED IS EMAIL CONFIRMATION. 

Friday, 9/4/2020

S. Fifth Ave. between Packard and Hill.  8am – 4pm

(8/28/2020 11:20 AM CR)
no fees metro act.","0","0","0","HENKELS & MCCOY","-83.74615","42.28559"
"PLUM20-1354","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-21 00:00:00","","","BLDG20-1009","PLUMBING","PLUMBING","FINALED","","","ANN ARBOR WOODS NO","","09-12-03-305-036","2742 COLONY RD","","Ann Arbor","48104","Remodel basement shower same location,replace toilet & sink","","0","130","130","Chelsea Plumbing","-83.71482","42.24875"
"PLUM20-1357","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-26 00:00:00","","","ROW20-1075","PLUMBING","PLUMBING","FINALED","","","KILLINS HEIGHTS AD","","09-09-30-109-003","212 S REVENA BLVD","","Ann Arbor","48103","Replace sewer from house to main","","0","100","100","Knight Robert","-83.766","42.28042"
"MECH20-1910","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","","2021-04-17 00:00:00","","","MECHANICAL","MECHANICAL","ISSUED","R1D","","SOUTH PARK","","09-09-33-411-012","1394 COLER RD","","Ann Arbor","48104","Replace AC and master bedroom supply","","0","145","145","Indoor Comfort Co","-83.73021","42.25772"
"MECH20-1913","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-23 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R4A","","","","09-12-10-201-107","3203 HOMESTEAD COMMONS DR 6","6","Ann Arbor","48108","HWC Replacement/ Disconnect","","0","140","140","K T Group Inc","-83.71555","42.24263"
"MECH20-1918","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-31 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R1C","","TIMBER RIDGE SUBDI","","09-09-23-400-037","1355 WYNNSTONE DR","","Ann Arbor","48105","Gas pipe to generator","","0","100","100","D & R Heating & Cooling Inc","-83.68731","42.29219"
"MECH20-1920","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-11-03 00:00:00","","","BLDG20-0899","MECHANICAL","MECHANICAL","FINALED","","","","SHELL/TIM HORTONS","09-12-06-403-001","2679 ANN ARBOR-SALINE RD","","Ann Arbor","48103","SHELL: Mechanical for beercave area","","0","90","90","Wojciechowski Zbigniew","-83.75989","42.24781"
"BARR20-0114","2020-08-28 00:00:00","2020-09-01 00:00:00","","","","","","BARRICADE","BARRICADE","APPROVED","D1","","ANN ARBOR LAND COM","","09-09-29-128-023","210 S FIFTH AVE","","Ann Arbor","48104","9/3 Maintenance to awning and balde signs","(9/1/2020 7:00 AM CR)
They also need a lane closure for me to approves this barricade permit

(9/12/2020 2:50 PM MB)
sent payment coversheet.","0","261.64999999999998","0","Signs By Crannie Inc","-83.7465","42.27994"
"ELEC20-2081","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-23 00:00:00","","","MECH20-1913","ELECTRICAL","ELECTRICAL","FINALED","","","","","09-12-10-201-107","3203 HOMESTEAD COMMONS DR 6","6","Ann Arbor","48108","HWC Replacement/ Disconnect","","0","100","100","K T Group Inc","-83.71555","42.24263"
"ELEC20-2087","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-29 00:00:00","","","BLDG20-1286","ELECTRICAL","ELECTRICAL","FINALED","","","ARBOR HILLS PHASE","","09-09-11-300-010","3365 CROMWELL RD","","Ann Arbor","48105","Wire new bedroom, new fixtures, add smoke detectors","","0","127","127","Snider Electric LLC","-83.69702","42.31793"
"ELEC20-2088","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-09-24 00:00:00","","","BLDG20-1423","ELECTRICAL","ELECTRICAL","FINALED","","","LEONHARD GRUNER'S","","09-09-29-202-013","1007 WILLOW ST","","Ann Arbor","48103","Bathroom remodel","","0","55","55","Snider Electric LLC","-83.76009","42.28388"
"BLDG20-1427","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-11-09 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R2A","","","","09-09-15-102-080","4 EASTBURY CT","","Ann Arbor","48105","Radon Reduction System","","855","115","115","Protech Environmental Services","-83.70333","42.3148"
"BLDG20-1428","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-08-28 00:00:00","2020-10-27 00:00:00","","","","BUILDING","RES ADD/ALTER","FINALED","R1C","","FRISINGER LAND COM","","09-09-33-313-003","1410 IROQUOIS PL","","Ann Arbor","48104","Radon Reduction System","","855","115","115","Protech Environmental Services","-83.73133","42.2595"
"BLDG20-1430","2020-08-28 00:00:00","2020-10-14 00:00:00","2020-10-20 00:00:00","","2021-05-02 00:00:00","","","BUILDING","RES ADD/ALTER","ISSUED","R4A","","","","09-08-25-404-174","563 LIBERTY POINTE DR","","Ann Arbor","48103","Deck - 14x10 w/ stairs, ~3ft above grade","(9/28/2020 4:10 PM JHY)
changed status from reviewed to under review, revision submitted 9/22 in for review.  Requested registration documents.

(10/14/2020 11:08 AM CJHY)
emailed for payment, once rcvd, permit can be issued","6475","243","243","Benjamin Fidler","-83.78542","42.27518"
"ELEC20-2093","2020-08-30 00:00:00","2020-08-31 00:00:00","2020-08-31 00:00:00","2020-09-09 00:00:00","","","MECH20-1630","ELECTRICAL","ELECTRICAL","FINALED","","","BALDWIN'SPLAT OFPI","","09-09-28-407-003","1429 HILL ST","","Ann Arbor","48104","Replace Walk In Freezer Equipment and Ice Machine","","0","75","75","Oscar W Larson Co","-83.7302","42.27263"
"ELEC20-2094","2020-08-30 00:00:00","2020-11-05 00:00:00","2020-11-05 00:00:00","2020-12-15 00:00:00","","","MECH20-1923","ELECTRICAL","ELECTRICAL","FINALED","","","ASSESSOR'S PLAT NO","","09-09-29-210-009","605 W WASHINGTON ST","","Ann Arbor","48103","Add one switched outlet in bedroom","","0","55","55","A & M Engineering","-83.75529","42.2804"
"MECH20-1922","2020-08-30 00:00:00","2020-08-31 00:00:00","2020-08-31 00:00:00","2020-09-16 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","C3","","","CRUMBL COOKIES","09-08-25-102-020","215 N MAPLE RD A2","A2","Ann Arbor","48103","Gas piping to water heater","(8/31/2020 11:05 AM CHH2)
Needs to verify address/suite number.","0","120","120","Able Plumbing & Cont Inc","",""
"MECH20-1923","2020-08-30 00:00:00","2020-11-05 00:00:00","2020-11-05 00:00:00","2020-12-09 00:00:00","","","","MECHANICAL","MECHANICAL","FINALED","R2A","","ASSESSOR'S PLAT NO","","09-09-29-210-009","605 W WASHINGTON ST","","Ann Arbor","48103","Repair/replace basement bath fan-run insulated duct outside","","0","65","65","A & M Engineering","-83.75529","42.2804"
"PLUM20-1359","2020-08-30 00:00:00","2020-08-31 00:00:00","2020-08-31 00:00:00","2020-09-11 00:00:00","","","","PLUMBING","PLUMBING","FINALED","D1","","ANN ARBOR LAND COM","","09-09-29-400-009","320 S STATE ST","","Ann Arbor","48103","Replace gate valve","","0","65","65","Able Plumbing & Cont Inc","-83.74123","42.27859"
